property_address,categories
"flat-12021,floor-2 synera tower 12 s no rec.18& 23,sector 81kh.no.41/1(6-8),23(8-0)24/1(4-0),8/2(2-0)villagenakhnaula gurgaon 122001 haryana",flat
"6d 999 kalyan paramount kalyan paramount near to ignou , kaloor, kk road ernakulam ernakulam north near to ignou , kaloor, kk road ernakulam ernakulam ernakulam cochin kerala 682017",others
404 4 sampati apartment swastik society nr mahadev temple swastik society jamnagar jamnagar jamnagar gujarat 361008,flat
"flat no. g-02, ground floor, building no. a3, gera's green ville song of joy, eon free zone, grant road, survey no. 64, hissa no. 1 to 6 kharadi, pune, district-pune, 411014",flat
"thanjavur dist, nagapattinam reg dist, muthupettai sub register office, thiruthuraipoodi taluk, thuraikadu village.",others
"plot no.20, new t.s no.89, new block no.8, new ward-av, eb colony, sempattu village , kottapattu village majara, k.sathanur sro, trichy-620021",houseorplot
b h civil court keshod badodar road keshod,others
plot no.fl-19 gida sector no. 13 sahajainwa,houseorplot
revenue survey no 105/2 municipal cansus no 1/43/1/7 city survey no 1238/8 paiki sheet no 33 mahesana,landparcel
"plot no. 659 and 660 phase-3, r. s. green situated at part of arazi no. 754 village bidhanu kanpur nagar admeasuring 450 sq. yds",houseorplot
",prop 1: 2526one shop no s-6 gf psituated rajharsh coone shop no s-6 gf plot no 46 an landsr n 25 26 1 2 27 31 30 1 30 2 20 1-asituated rajharsh colony nayapurakolar road ph no 38 dist bhopalbhopal ,prop 2 : 261227one shopno s4 plot nat rajharsh griha nione shopno s4 plot no 46 a land sur n 2526 1 2 27 31 30 1 30 2 20 1-a situatedat rajharsh griha nirman shakari samitimydt sec an vlg nayapura kolar rd ph 38bhopal ,prop 3 : 46flat no f01 on first30 1 30 2 20 1 a rajflat no f01 on first floor constructedplot no a46 sur ln 25 26 1 2 27 3130 1 30 2 20 1 a rajharsh griha nirmansahkari samiti maryadit gram nayapurabhopal",commercial unit
aayushka bunglows vi-1 9kamrej surat kamrej surat kamrej gujarat 394180,houseorplot
"310, 5th floor, darshanam crossroad, r.s. no. 777/579/paiki 18 , su. no. 377/paiki 851 /paiki 678 , su. no. 180/paiki 622, near soma talav chaar rasta, darshanam cross road, waghhodia road,",flat
door no:1-32 survey no: -11-1 g.bavavaram grama panchayat karapa mandalam kakinada district,houseorplot
"flat-front-north-portion,floor-2 shantusti apartment plot 19,s no 3847/47,old no:20new no:4 ganapathy colonyteynampet chennai 600018 tamil nadu",flat
"""ashirwad hotel"" uma complex, nr dhrol apmc rs no 752/56 paiki plot no 32 shop no 452 on ground floor shop no 908 to 952 on first floor, off jamnagar - rajkot highway",commercial unit
"flat-272,floor-first siddhivinayak annex s no old-624/359 , new -19/3village dokali, balkum thane(w) thane 400601 maharashtra",flat
"plot-107,108 k v r sarvan nivas s no 191-2,187-2a,188-16188-17,188-18,188-19karakavalasa,vizianagaram vizianagaram 535215 andhra pradesh",houseorplot
"door no.1/670 annakili street, ponnurangan nagar gf o.s.no.47/2a,n.s.no.313/4 polichalur village it is near by ponnurangan nagar church tambaram chengalpattu tamil nadu tambaram 600074",houseorplot
"gpn no 506,-,mali galli road,-,mali galli,near of hanuman temple, khadagon dist latur,latur,maharashtra,413512",others
"n industrial property situated f.p. no. 138 paiki sub plot no. 138/b paiki plot no. 138/b/1, nr. neminath industrial estate, t.p.s. no. 10, sub plot no. 4, rakhial maninagar, ahmedabad",houseorplot
"shop no 11, 534, sangini trade centre , sangini trade centre , sangini trade centre, as per plan 4th floor, on site 3rd floor, as per plan shop no 685, on site shop no 986; moje kumbhariya, rs no. 670/18/64,975/375;2; block no. 487,243,667/b; tps no. 333; fp no. 231,102,680 , opp raghuvir platinum, surat kadodara road, surat, kumbhariya",commercial unit
"flat no. b/801, 8th, building no. b, safron homes, r.s. no. 25/1, t.p.s. no. 31 (adajan), f. p. no. 88, apartment b, flat no. b/801, safron homes, 8th floor, near green arcade, green city road, surat, adajan",flat
"commercial property, being house no. 510 & house no. 370 adm. 744.215 sq. mtrs. (carpet of the land owner shafalya infralink llp, which is situate lying and being over the n. a. land of area), along with undivided share and 234 car parking, in the scheme known as iconic shyamal the survey no. 296/233, 88/46, 643/805 (village jodhpur)(old vejalpur",commercial unit
"flat-304,floor-3 shree sai towers plot 1 to 3,s no 459,bus standroad near sai mandir neraleast raigarh-ms 410101 maharashtra",flat
open plot no 10 na na main road,others
"r.s. no. 3161/3, p.s. phulwari sharif, near ganesh temple, pune, maharashtra - 773299",landparcel
"plot 4.25 ares,s no sy no.741/1-1-7t1, 1-1-2t1,villageperunad,taluka ranni,districtpathanamthitta,house na pathanamthitta 689711 kerala",houseorplot
"flat no 502, 5th floor, wing d, kohinoor presidentia society, sr no 67a and others, cts no 788, mauje ghorpadi, taluka haveli, dist pune, near citadale, bt kawade road, pune, ghorpadi, pune city,",flat
property situated at survey no 29 3 and 30 1 house no 20 sardar patel nagarvillage kodariya tehsil mhow and dist indore mp,houseorplot
"flat-2904,floor-29 integrated ramicon wing b s no 57a and 57c,oshiwaradistrict center,oshiwra ,goregaon west mumbai 400102 maharashtra",flat
"plot pvt no. 24,khassra2200/841,842,844 min,colonysultanwind,uttam nagar,streettarn taran road,districtamritsar,house in amritsar 143001 punjab",houseorplot
754 ayiroopara keezhuthonnakkal thiruvananthapuram thiruvananthapuram trivandrum kerala 695584,others
"gf, house 3471/a/16/a,s, nahouse 3471/a/16/a,s no 514 layout santaji co-op hsg soc, plot 16a house 3471/a/16/a,s no 514 layout santaji co-op hsg soc ward no. 15 mouza somlwada nagpur ph no. 44 sheet no. 679 nagpur 440015, plot 16a, somalwada, na, nagpur, somalwada",houseorplot
"mouza - parui,j.l. no. 03,touzi no. - 351,re sa no. 80,maheshtala municipality,maheshtala,kolkata,west bengal-700061,kolkata,india.",houseorplot
"house bearing part, of arazi no 222, 2 situated at, surkha chawni, pargana, tehsil and distt, bareilly, bareilly, uttar pradesh, india, 243001",houseorplot
"row house-147 sai mohan - 2 s no 10/1(olld-188/1),fp 22 tp63(vadod) nr sai mohan-4 nraakash prithvi bhestan waterwork bhestan surat 395023 gujarat",houseorplot
"row house,24to50/1/1,rameshvar avenue,rolex road,saibaba circle,kothariya,rajkot,rajkot,rajkot,gujarat,360002",houseorplot
"t.s.no.67, new t.no.67/2, block no.12, t.s.ward e, door no.20, sivakasi town, sivakasi sub division, taluk, virudhunagar rd and district, sivakasi, virudhunagar, tamil nadu, india, 626123",houseorplot
"flat no 702, 7th floor, wing b, capital city, plot no a-7/2 and others, nigoje, pune, 410501",flat
bharmani sub plot no 169/b/1 ranchhod nagar street no 2 near parevadi chawk off kuvadva road rajkot ward no 12 shree ranchhodnagar co operative housing society ltd rs no 123 paiki plot no 169/b sub plot no 169/b/1 tps no 8 fp no 39 cs patel wadi,houseorplot
"apartment-158,floor-sixth anjaneya watika plot 626 to 418,s no 302 & 831/1mouza hingna ,nr panchvatipark nagpur 441110 maharashtra",flat
"a residential flat no. a-1 on fourth floor, lhs back side, mig, without roof or terrace rights, having area measuring 700 sq. fts. i.e. 70 sq. mtrs, built-up property bearing plot no. 38-b, situated at residential colony shalimar garden extn.-2, hadbast village pasonda, pargana loni, tehsil ghaziabad and district ghaziabad, u.p.",flat
"all that piece and parcel of the vacant property vacant site bearing no.108, assessment no. 33/2/108, khatha no.33/2, situated at kambipura village, kengeri hobli, bangalore south taluk, the property comes under the limits of kumbalagodu village panchayath, totally measuring 979 sq.ft.",houseorplot
"plot no 63 on part of,khassrano.208,village bhanpur khalsagajraula,pargana &,tehsildhanaura,e/n/s-plot,w-road amroha 244221 uttar pradesh",houseorplot
"unit-232 shri brajtara township s no 86,,village khargone,tehsil khargone, districtkhargone (m.p.) 451001 khargone 451001 madhya pradesh",flat
"flat-2001,floor-20 geetanjali solitaire plot 05,sector 24,taloja phase-ii , panvel panvel 410208 maharashtra",flat
"mpl no2 b2076 old no 21422 1 k khasra nos.239-m, pathanpura, jagdeesh colony basant vihar near rainbow school",landparcel
"e2 block n e2 akola 693 to 8mouje akoli mouje akoli kurdh, surve no 862/651, 21/837, 812/574 akola akola maharashtra 444001",others
"flat-898,floor-sixth pyda palms s no 17/120,belathur villagebidarahalli hobli,bangaloreeast taluk bengaluru 560066 karnataka",flat
"door no. 17-992-7 , new & old ward no. 12, venugopal nagar, old town, anantapur , survey no. 170/6, present ward no. 18 near sai baba temple",houseorplot
"hop no 624, 452, new tech grand 70, newtech grand - 912, bank more near bara gurudwara dist dhanbad mouza saraidela khata no. 552 , 845, 846, bara gurudwara, dhanbad, saraidhela dhanbad, dhanbad, jharkhand, 826001",commercial unit
"flat no. 1206, admeasuring 263 sq. fts., carpet area i.e. 29.33 sq. mtrs. built up area, on 12th floor, in e wing, in the building known as nakshatra primus “e” co-operative housing society limited, constructed on land bearing survey no. 43 hissa no. 4c, survey no. 44 hissa no. 9, 10, 11, 12, survey no. 45 hissa no. 2a, 3a, 3b, 4, survey no. 50 hissa no. 7 and 8 situated at village tivri, naigaon east, taluka vasai, district palghar, within the limits of vvcmc and within jurisdiction of sub-registrar at vasai.",flat
"gata no. 7462/4, pargana rampur kalan, near ganga ghat, ranikhet, uttarakhand - 201504",landparcel
"plot-p3-392 tierra - iii plot 1 to 392 (shop-4),s no31/1,2,3, 31/4a,4b,5,6, 32/1a11a2,1a3, 1b,1c,1d,2,3,4,5 etc.,padharvadi village,oragadamkancheepuram kancheepuram 603204 tamil nadu",houseorplot
"sy. no. 5052/5, p.s. vandalur, near water tank, kanpur nagar, uttar pradesh - 519639",landparcel
"unit-20to22/105 satyam park - 2 s no 67/2,village - baroi,mundra kutch 370421 gujarat",flat
"ramsar road, main bazar, dhanaula-148105 0 wakya rakba dhanaula ramsar road",others
"survey no.97/2, assessment no.1147005523, door no: 17-111, ntr nagar, addanki mandal, bapatla district, prakasam, andhrapradesh-523201.",houseorplot
"r.s. no. 2009/4, village rajarhat, near ganga ghat, indore, madhya pradesh - 384912",landparcel
"s no207 2 old 255 2, plot no12 khare mala, kupwad-vijayanagar road, city kupwad 2, tal miraj, dist sangli bismillah khare mala",houseorplot
1101 11 luxurio 75 residences luxurio 75 residences 1serilingampally mandal madeena guda village ranga reddy hyderabad telangana 500050,flat
"74, 272, siddhnath chambers, siddhnath chambers, (jamnagar main cs no. g/831/284 paiki, ward no. 210, sheet no. 788, amalgamated cs no. 213, flat no. 840, 3rd floor, siddhnath chambers, jamnagar - 361001)., opp sayaji hotel, nr amber chowk, jamnagar, nr icici bank",flat
524 vikaspuri krishi apartment west delhi,others
"sy. no. 6923/8, village patia, near ganesh temple, bhubaneswar, odisha - 713191",landparcel
"flat no.405, 4 th floor, a wing , building no. 1 ,anand residency , eden park , s no. 35 , navghar bhayender east , thane",flat
"flat no 423,6th floor,rsc road no 858,gorai arihant chsl,plot no 303, cts no 346 of village borivali,near jalaram medical store, gorai 361, borivali west,borivali west,maharashtra,400092",flat
"unit no 201 & 918, ground na landmark commercial complex c, s no 20 plus 636 part cts no 894 plo erandawane pune pune maharashtra 411038",commercial unit
"office no 717,2nd floor,adarsh industrial premises chsl, sahar road,andheri east mumbai maharashtra 400099",commercial unit
"premises no. 758, dwarik jungle street, under uttarpara- kotrung municipality, ward no. 293, p.s.- uttarpara, district hooghly, pin- 712232",flat
no 58jigni hobli anekal bengaluru urban bangalore karnataka 560099,houseorplot
"flat-203,floor-2 nr infinity block b plot in,s no 734/a,735/a,aa,e2e3,ee,737/a,aa,738/aameenpur(v) & (m),sangareddydist sangareddy 502032 telangana",flat
ehf 350 i gf 085 emerald hills village nangali umarpur badshahpur ground floor plot no i 85 block ehf i 350gf 085 02 sector 62 and 65,flat
"door no 5-9,assessment no 352,machavaram,machavaram village and gram panchayat,nagulappalapadu mandal, prakasam district,near gangamma temple,chirala,andhra pradesh,523180",houseorplot
"malmatta no.271,harijan wada a/p phaye ,tal- bhudargad,dist-kolhapur 416209",houseorplot
"survey no. 480/3, taluka rajarhat, near water tank, guntur, andhra pradesh - 227197",landparcel
"shop ghmc no. 21-1-643/a/ff/shop no.4, on first floor situated at god gift market rikab gunj, hyderabadt. g. 500002 (old shop ghmc no. 21-1-643/a/a and 21-1-643), backside sunita textiles",commercial unit
"house under atharakhai gp,lrkh 14835,ps-matigara,dag nolr-832,jl no 71,mouza barmohansingh,pargana patharghata darjiling 734011 west bengal",houseorplot
no 26 landons roadkilpauk,others
shop no- h/140/628 umarwada new textile tower market b/h jash market,commercial unit
others 6 ganesh nandan tower k l m ganesh nandan n.aopp. swaminarayan mandir n.a bharuch ho borbhathabet bharuch bharuch bharuch gujarat 392001,flat
"e khatha no 655-849-413-631, pid no 8776, s.p.s nagara 2nd stage, davanagere, davanagere district-577006",others
"plot no: 2/1128,block-2, a11 type, jj nagar,mogappair village,chennai,tamil nadu-600037,chennai,india.",houseorplot
dsm 384 ground floor dlf tower shivaji marg new delhi-110015,commercial unit
"flat-r143,floor-third mangalmurti bhavan () plot no 324sector 6sarsolenerul navi mumbai 400706 maharashtra",flat
"unit-36 shreeji duplex s no 724/1,opp krishna vatikasoc.,next to anugrah hospitalkarjan padra rd,karjan vadodara 391240 gujarat",others
no 351 incl estate udumalpuram nandyal,houseorplot
"dag no. 4799 ,periodic patta no:-545,agarwal marble,chirwapatty road,near hanuman mandir,tinsukia,assam,786125",others
"unit-303,floor-3 sri sai paradise-los s no sy.no.27/1,shigehallivillage,,bidarahalli hobliwhite filed, bengaluru 560002 karnataka",others
"flat-202,floor-2 salasar aangan - a s no new sn180/1,3,5,navgharvillg,mira road [e],distthane mira-bhayandar 401107 maharashtra",flat
"flat-201,floor-2 al muqaam tower b s no 238/3,near al madinaresidency, behind al karimresidency,24 meter hightension road,tadalja,vadodara vadodara 390012 gujarat",flat
"flat-501,floor-5 srikharas palm residency blk b dr no 1-115&1-115/1(old)sy no 64,65 & 66kondapurserilingampaly mandal hyderabad-ap 500084 telangana",flat
"flat-p543,floor-second shubharambh plot 441,block d,sch- 557,sujatganj, kanpur kanpur 208013 uttar pradesh",flat
"unit-86/b bapa dayalu nagar -1 s no 366,village - madhapar,taluka - bhuj bhuj 370001 gujarat",flat
"flat-1201,floor-12 anmol a9 sec - 88 faridabad 121001 haryana",flat
shop no. 728 and 292 766 commercial ramnath harmony r.s no. 284 gold city tarsali bypass crossing vadodara vadodra gujarat 390009,commercial unit
"part of house no. a1/40 ews naini housing scheme sector a phase 2 pargana arail tehsil karchchana dist. prayagraj , naini allahabad , , urban , allahabad , uttar pradesh , india - 211008",houseorplot
gp malmatta no - 116/2 umari chi. gudegaon po. musewadi tq ramtek dist. nagpur - 441106,houseorplot
"s.no.240/4a/9,plot no.23, ganesh nagar, mouje golap,tal & dist- ratnagiri,415616",houseorplot
"p3/18, na, tower 7, purvanchal silver city, flat no p3/018 on 8th and 9th floor, tower 7, purvanchal silver city at plot no 93/1, sector 93, noida(up), 93/1, ats village, sector 93, noida, noida, gautam buddha nagar, uttar pradesh, 201304",flat
unit-246 vivekanand nagar s no rangbari kota-rj 324009 rajasthan,others
"arazi no. 754/2 area 850 sq.ft. i.e. 78.99 sq.mtr. situated at mauza chhittupur khas, pargana dehat amanat, teh. sadar, distt. varanasi",landparcel
"sy. no. 721/2, village manesar, opposite primary school, jhunjhunu, rajasthan - 383645",landparcel
"plot 2.91,s no 121,villagevanchiyoor,talukathiruvanthapuram,districtthiruvanthapuram thiruvananthapuram 695035 kerala",houseorplot
"flat-q918a-ff,floor-first six bigha plot no. 411 plot 319,six bigha, khno. 405(new), vill- nangla samawadi,alwar alwar 301001 rajasthan",flat
"navagadh rs no 79 paiki 1, plot no 77 to 100, shop no a/6, ground floor, porbandar rajkot highway, tal : jetpur, dist : rajkot 360370 wing a, green city, yasodanagar a, nr tatkal hanuman temple chowk, nr tatkal hanuman temple",commercial unit
shop no. 60 ghekanta karnavati arced opp nagar sheth no vando,commercial unit
"office no 401, 4th floor, vitthal villa complex nr satadhar circle, ghatlodia, s no 93+94, fp no 87 tp no 1 vitthal villa complex nr satadhar circle",commercial unit
250 sy no 922 ssr signature gardenia ssr signature gardenia bangalore east taluk bangalore,flat
"plot no 8 door no 6 39, no 5 9, ramapuram ambattur tiruvallur giri nagar ramapuram near to giri nagar park",houseorplot
"flat-501,floor-5 nirvana residency phase-2-bld-3 s no gat no.-106(1-25),villagewanjale, karjat neral road,next to d-mart, karjat raigarh-ms 410201 maharashtra",flat
"plot-47 manasa puttegowda high park s no 296/4, 297/1,bogadhivillage, kasaba hobli, mysore mysore 570026 karnataka",houseorplot
"shop room, ground floor, south west side, ground, na, rudrani, rudrani, commercial shop room, ground floor, south west side, premises no - 115 v, parui paddy land, p.s - at present parnasree previously behala, kolkata - 700061, under kmc ward no - 129., na, sakuntala bus stand, 115 v, parui paddy land, calcutta, behala, maheshtala, kolkata, west bengal, 700061",commercial unit
"flat no. 102, 1st floor near bedkar hospital, ghantali, sneh sadan society, ram maruti road, naupada thane",flat
"flat-502,floor-5 regency anantam nxt phase 1 bldg 2-rosetta s no 64, 65/3, 65/4, 65/5,66/1, 67/4b, 102/5a, 102/5b,102/7, 102/9, 102/10,villagedawadi, dombivali east kalyan-dombivali 421203 maharashtra",flat
"re sy no 878/382/677, block no 494, nedumbassery village, aluva taluk, thuruthyserry road, mekkadambu p.o, ernakulam, kerala, india, 683589",others
"691/195, nanadoor no.160/653,sy no.390/93-130-785,305/95-544-406,piravom village, moovattupuzha taluk,piravom,ernakulam, sy no.28/831-518-37,954/941-887-74, in maliackal bakers house, near piravom mulanthuruthy road, cochin, piravom, piravom, muvattupuzha, ernakulam, kerala, 686664",others
"villa and plot 74, bloomfield ecstasy sy no. 375, tellapur panchayat, medak district, telangana state village, ramachandrapuram mandal, under tellapur gram my home sayuk",houseorplot
"flat-905,floor-9 nature valley homes d type s no 81,block 131,b/h bharatcancer hospital, sarolivillage, surat kadodara road,surat surat 395003 gujarat",flat
"l1654 millenium textile market, ring road, surat- 395002",commercial unit
rs no 17/74 5.88 ares kodiyathur village kozhikode taluk kodiyathur gramapanchayath kodiyathur village kozhikode,landparcel
"east part of house no. 36 sumiti nagar inside of eastern ring road gf, ff, sf chitawad ward no. 53 near ya- rasool allah masjid indore indore madhya pradesh indore 452001",houseorplot
"khasra no. 9114/1, mandal zirakpur, opposite post office, chengalpattu, tamil nadu - 442664",landparcel
"unit-163 shivnagar 1 & 2 plot 355,s no 46/p,fp-23/5talaja road , bhavnagar bhavnagar 364001 gujarat",flat
house built on plot no 114 dream green city phase 2 lucknow,houseorplot
"entire 1st floor, 1st floor , swatantra, swatantra , entire 1st floor, 810 burtolla street , ps posta , kmc , ward no. 710 , 431, burrabazar, 448 burtola street, p.s.- posta, ward no - 26, calcutta, p.s - posta, kolkata, west bengal, 700007",flat
"shop no-694 on second floor area measuring 636 sq khasra no.388/542 in the building known as akd tower situated at gurgaon , tehsil & dist gurgaon",commercial unit
"flat no 202, 2nd floor, a wing, building no 12, vastu sankalp chsl, nagari nivara parishad, goregaon east, mumbai, maharashtra, india, 400063",flat
shop no 162 gr floor plot no 874 sec 295 ulwe dream vinayak sec 334,commercial unit
"row house-109 avadh sanghrila s no 377+378,381,381/1,block362,opp baleshwar jain templeopp aman restaurant, kadodarapalsana highway surat 394317 gujarat",houseorplot
"flat-2253,floor-25 prestige suncrest - twr 02 s no 30/24b, 30/24c, 30/25band 30/25a1,tirupalya village,jigani hobli, anekal taluk bengaluru 560105 karnataka",flat
"flat-a,floor-2 . s no holding-81,,arobindaroad; ward-14; ps-newbarrackpur kolkata 700131 west bengal",flat
"house on plot no-5, and 6 part, ground and first floor, survey no-76/16, situated at chengi cherla village, medipally mandal, medchal-malkajgiri dist, telangana-500039",houseorplot
"plot no 10, lourdes garden, vadaperumbakkam, chennai, tamil nadu, india, 600060",houseorplot
"unit-7,8-north-part kedia's prakash avenue s no kh. no. 901/1, 904, 905,906/2 of sirsi,near sirsi road jaipur 302012 rajasthan",others
"godown no 333, amlgamated plot/ s no 680,cs sheet no 273 kiran estate, khamdhrol road,nr vijay food namkin majevadi",commercial unit
"plot no:00,survey number:khasra no 303/25 ,locality:plot admeasuring 2175sqft, part of khasra no 303/25, halka no 24, rnm 02, vikas khand shahganj,village baktara, tehsil budni distt sehore mp",houseorplot
"plot no 10 c, gomtesh city, sector a, arihant nagar extension, rishi nagar gram jambudi hapsi, tehsil hatod, indore, indore, madhya pradesh, india, 452001",houseorplot
"shop no m 560 & m 899 bhatar road ,surat 395007 mezanine floor of silver pointopp vidhya bharti school opp vidhya bharti school",commercial unit
"address:nananaresy no 19/29, door no1/301, cheranallur village, kanayannur taluk, ernakulam district, resy no.19/29, in ma bank road., m a bank road, cochin, cheranallur, cheranallur, kanayannur, ernakulam, kerala, 682034",houseorplot
"s no old s no 450/1 new s no450/5a,house 450/1a1a1a/3,doorin ns 450/1a1a1a/3a,patta no460,arcot road, maduravoyalvillage, porur chennai chennai 600095 tamil nadu",houseorplot
"flat-n147,floor-10 shreeji sanidhya plot 447,s no 233,tps 381,fp 774,at golden city,behind sarusection police head quarternear shreeji annex jamnagar 361006 gujarat",flat
"404, 4th floor, b, siddhi greens, rs/block no 456 tp no 81 fp no 85 lambha , nr bhagirath south park, new tp road, ahmedabad, lambha, ahmadabad city",flat
"flat-505,floor-5 cidco mass housing schm lig--l-07 plot 6,sector 34,taloja,panvel panvel 410208 maharashtra",flat
"office no. 1105, 11th floor plot no mbp 2 millenium business park rupa solitaire premises csl mbp mhape road",commercial unit
"plot-44 empire - i s no khora shyam das,sikarroad - khora shyam das road,kh nos 1927/593, 594 khorashyam das rampura dabri jaipur 303704 rajasthan",houseorplot
"house no. 9/176, kudi bhagtasani scheme, jodhpur admeasuring area 2583.42 sq. fts",houseorplot
plot no b-39/a new rander road samarpan co op hou soc ltd navyug college,houseorplot
"flat-310,floor-3 aishwary residency co op housing society limited s no 5546,5547,near jansevahospital, ner jagdishapartment, kachigam road, vapi 396191 gujarat",flat
row house-13-14-north-part harsh nagar khasra no 714village fatehpuria - iisendra roadbeawar beawar 305901 rajasthan,houseorplot
"unit-32/3 radhe krishna residency?(plot 31&32 ) s no 65/1, new r.s. no- 293294 ,nr. ram vatika society,nr. salt factory, rajpiplachowkdi, gadkhol, ankleshwar ankleshwar 393010 gujarat",flat
"gata no. 2678/7, mandal rajarhat, beside outer ring road, kochi, kerala - 485538",landparcel
"independent floor no. b-5/25-c, on third floor, (area measuring 862 sq. fts), along with stilt parking space no. b-5/25, c/sfp3, situated at dlf garden city enclave, phase-ii, sector-93, gurgaon, haryana",flat
"unit-83 sai paradise s no 650,653/2,425,426/1,658/2651,426/2,658/1,652,657,658/3653/1,,424,654,655,656,653/3village nihalpur mundi indore 452012 madhya pradesh",flat
"flat-1608,floor-16 kohinoor eden plot-b building-5 s no 36/23 36/24,adivali,dhokali ,kalyan east kalyan-dombivali 421306 maharashtra",flat
"apartment-t1,floor-3 padmasree shantiniketan s no 590/1,nr anthimahakalantemple,eroor,nadama villagekanayannur taluk,ernakulamdistrict ernakulam 682301 kerala",flat
"s no amar nagar,house 73,74khassra 828/751,colony amarnagar,pal road jodhpur jodhpur 342001 rajasthan",houseorplot
"na, nasector 16a, plot no. 620, sector 16 a, faridabad, haryana, plot no. 620, metro hospital, faridabad, urban estate, faridabad, faridabad, haryana, 121007",houseorplot
building situated at handi khera tehsil shehzadpur hadbast no. 364 naryangarh,others
"plot no-238, survey no-310, 312, 314, 316, 373, 374, 375, ward no-4, block no-11, sirdi nagar, anmagal hayathnagar village, hayathnagar revenue mandal, ranga reddy dist, telangana-501505",houseorplot
"flat,344,1st floor,gujarat,naval nagar 279 main road off guruprasad chowk road, mavdi main road rajkot ,rajkot ,rajkot,rajkot,rajkot,rajkot,gujarat,360004",flat
"plot 30p,s no part of 650 and651,village khapra,mandalkeesara,district rangareddyvampuguda hyderabad-ap 501301 telangana",houseorplot
"flat-a-907,floor-third geethanjali residency plot 905/601 (old 182),6th crossroad, ashoknagar, bangalore bengaluru 560050 karnataka",flat
1201 12 nitesh hyde park nitesh hyde park sy no 49 hulimavu village begur hobli e-1201bus stop nitesh hyde park hulimavu village begur bangalore south bengaluru urban bangalore karnataka 560076,flat
"all that piece and parcel of southern portion of nit lease hold plot no. 703 adm 38.70 sq.mrs (i.e 416.69 sq.fts) out of total adm 116.129 sq.mtrs (i.e 1250 sq.fts) being the portion of land bearing khasra no. 76 of mouza -binakhi, p.h no. 17, bearing city survey no. 2487, sheet no. 439/28, corporation house no. 749 within the limits nagpur municipal corporation nagpur and nagpur improvement trust nagpur tahsil and district nagpur",houseorplot
"property no. 20-1-67, assessment no.997/27 gundlupete town, chamarajanagara district ward no.16, 4th division, mysore ooty road near bus stop",houseorplot
"all that pieces and parcels of immovable property bearing r.s.no.3882 (old r.s.no.383 p-1), plot no.5, having plot area admeasuring 99.50.00 sq.mtrs. together with construction area admeasuring 53.86.25 sq.mtrs. (g.f. construction area admeasuring 53.86.25 sq.mtrs. & f.f. construction area admeasuring 26.00.00 sq.mtrs.) & margin area admeasuring 45.63.75 sq.mtrs. and undivided share towards land area admeasuring 70.90.00 sq.mtrs. total area admeasuring 170.40.00 sq.mtrs., constructed in the scheme known as “labdhi bungalows”, situated on freehold non-agricultural land bearing r.s.no.3882 (old r.s.no.383 p-1), of mouje kansa, taluka visnagar in the district of mahesana, within the state of gujarat.",houseorplot
"flat-503,floor-4 pavan mitra apartments s no 180,paradesipalem village, visakhapatnam 530048 andhra pradesh",flat
"s.no.4/3, subam nagar, plot no.60/a, karupillaiyendal village, 1, theppakulam sro,, madurai north taluk,, madurai district, madurai, madurai, tamil nadu, india, 625020",houseorplot
1near masjid sharief zari mohalla lal bazar srinagar srinagar jammu and kashmir 190023,others
"h no 5-70/122(old), h no 1-5-1020/3(new), plot 122, sy no 590 591 and 594 jonnabanda alwal old alwal",houseorplot
shop no -700 a ground floor shirgoan badlapur,commercial unit
"flat-t8-301-tower-t8,floor-3 purva zenium s no 132/1-2,133/1-3,135/1136/1,hosahalli village , jalahobli, bengaluru bengaluru rural 561203 karnataka",flat
"flat-403,floor-4 satvam brahmand plot 64/5,s no 95/5,tp 117,nr.satvam antrix,madhav farm roadopp.kalhar bunglows,vastralsingarva road,vastral ahmedabad 382418 gujarat",flat
"plot no.65-c, khasra no.391 indirapuri a. b. c. d residential colony hadbast village dharoti khurd pargana and tehsil loni distr ghaziabad uttar pradesh 201102",houseorplot
"unit-172/85 ahad city s no 28/4-5,33/2,5-8,34/1,3,47-10,54/2,55/1-14,58,59/1-460/1-3,61/1,off hampapura vlgkasaba hb,srirangapatna tqmandy mandya 571438 karnataka",flat
"shop,14,ground,b 1,metro life biz bay ,pimpri chinchwad ,pune,pune,maharashtra,411033",commercial unit
c/o sardar ji departmental store nr green land public school 328 1a a bhoura sadak ludhiana,commercial unit
"flat-304,floor-3 polaris ultima - c s no 291,dandiwad, balithafatak road, opp woodland hotel nh8, balitha valsad 396191 gujarat",flat
house no. 894 895 sector 59 sas nagar mohali phase 4 near gurudwara sahib,houseorplot
"flat-592,floor-ground shreenathji park - b s no 407+540/273,opp chanod grampanchayat,chanod, vapi 396195 gujarat",flat
ward no 4 block no 2 t s no 154 dno:23-1-1 2 biyapu vari street d no 23 1 1 3 a no 1035016085 bade saheb veedhi gandhi road,others
"105, manoharpura. manoharpura manoharpura, shahpura, jaipur, rajasthan 303104",others
"d no 6-141 na modikuppam,modikuppam,nakkalpatti,krishnagiri - 635203.",houseorplot
"flat,171 ,1st,s no 373/3a/399, 829/3d and 960/693 ,narayani , warje,pune,pune,maharashtra,411058",flat
"property bearing shop no. 186 & 122 & house no. 850 old cannaught place nagar nigam no 938/229, situated at nari shilp mandir marg bhatia sports co",commercial unit
"gata no. 433, village amariya, pargana jahanabad, tehsil amaria, distt pilibhit",landparcel
